Trade date,Stock short name,Closing price,Previous Close,Price Difference
2024-06-17,BOS HSK BTC,51.58,,
2024-06-17,HGI ETH-U,1.11,,
2024-06-17,HGI ETH,8.7,,
2024-06-17,HGI BTC-U,1.06,,
2024-06-17,HGI BTC,8.3,,
2024-06-17,FA CSOP ETH,19.08,,
2024-06-17,FA CSOP BTC,25.3,,
2024-06-17,CAM ETH-U,1.108,,
2024-06-17,FA SAMSUNG BTC,24.74,,
2024-06-17,CAM ETH,8.67,,
2024-06-17,CAM BTC-U,1.062,,
2024-06-17,CAM BTC-R,7.73,,
2024-06-17,CAM BTC,8.3,,
2024-06-17,BOS HSK ETH-U,3.544,,
2024-06-17,BOS HSK ETH,27.66,,
2024-06-17,BOS HSK BTC-U,6.6,,
2024-06-17,CAM ETH-R,8.055,,
2024-06-18,FA CSOP BTC,25.08,25.3,-0.2200000000000024
2024-06-18,HGI ETH-U,1.082,1.11,-0.028
2024-06-18,HGI ETH,8.435,8.7,-0.2649999999999988
2024-06-18,HGI BTC-U,1.05,1.06,-0.01
2024-06-18,HGI BTC,8.22,8.3,-0.08
2024-06-18,FA SAMSUNG BTC,24.56,24.74,-0.1799999999999997
2024-06-18,FA CSOP ETH,18.48,19.08,-0.5999999999999979
2024-06-18,CAM ETH-U,1.08,1.108,-0.028
2024-06-18,BOS HSK ETH-U,3.442,3.544,-0.1019999999999998
2024-06-18,CAM ETH,8.405,8.67,-0.2650000000000005
2024-06-18,CAM BTC-U,1.05,1.062,-0.012
2024-06-18,CAM BTC-R,7.655,7.73,-0.0750000000000001
2024-06-18,CAM BTC,8.22,8.3,-0.08
2024-06-18,BOS HSK ETH,26.84,27.66,-0.8200000000000003
2024-06-18,BOS HSK BTC-U,6.54,6.6,-0.0599999999999996
2024-06-18,BOS HSK BTC,51.06,51.58,-0.519999999999996
2024-06-18,CAM ETH-R,7.845,8.055,-0.2099999999999999
2024-06-19,CAM ETH-U,1.11,1.08,0.03
2024-06-19,HGI ETH-U,1.114,1.082,0.032
2024-06-19,HGI ETH,8.69,8.435,0.254999999999999
2024-06-19,HGI BTC-U,1.048,1.05,-0.002
2024-06-19,HGI BTC,8.2,8.22,-0.0200000000000013
2024-06-19,FA CSOP ETH,19.06,18.48,0.5799999999999983
2024-06-19,FA CSOP BTC,24.9,25.08,-0.1799999999999997
2024-06-19,CAM ETH-R,8.05,7.845,0.2050000000000009
2024-06-19,FA SAMSUNG BTC,24.42,24.56,-0.139999999999997
2024-06-19,CAM BTC-U,1.05,1.05,0.0
2024-06-19,CAM BTC-R,7.63,7.655,-0.0250000000000003
2024-06-19,CAM BTC,8.195,8.22,-0.0250000000000003
2024-06-19,CAM ETH,8.65,8.405,0.245000000000001
2024-06-19,BOS HSK ETH-U,3.54,3.442,0.0979999999999998
2024-06-19,BOS HSK ETH,27.6,26.84,0.7600000000000016
2024-06-19,BOS HSK BTC-U,6.53,6.54,-0.0099999999999997
2024-06-19,BOS HSK BTC,50.96,51.06,-0.1000000000000014
2024-06-20,HGI ETH,8.835,8.69,0.1450000000000013
2024-06-20,HGI BTC-U,1.058,1.048,0.01
2024-06-20,HGI BTC,8.26,8.2,0.0600000000000005
2024-06-20,FA SAMSUNG BTC,24.62,24.42,0.1999999999999993
2024-06-20,FA CSOP ETH,19.39,19.06,0.3300000000000018
2024-06-20,FA CSOP BTC,25.1,24.9,0.2000000000000028
2024-06-20,CAM ETH-U,1.128,1.11,0.0179999999999997
2024-06-20,CAM ETH-R,8.2,8.05,0.1499999999999985
2024-06-20,HGI ETH-U,1.132,1.114,0.0179999999999997
2024-06-20,CAM BTC-U,1.06,1.05,0.01
2024-06-20,CAM BTC-R,7.705,7.63,0.0750000000000001
2024-06-20,CAM BTC,8.265,8.195,0.0700000000000002
2024-06-20,BOS HSK ETH-U,3.592,3.54,0.052
2024-06-20,BOS HSK ETH,28.04,27.6,0.4399999999999977
2024-06-20,BOS HSK BTC-U,6.565,6.53,0.0350000000000001
2024-06-20,BOS HSK BTC,51.38,50.96,0.4200000000000017
2024-06-20,CAM ETH,8.8,8.65,0.1500000000000003
2024-06-21,HGI ETH-U,1.09,1.132,-0.0419999999999998
2024-06-21,HGI ETH,8.495,8.835,-0.3400000000000016
2024-06-21,HGI BTC-U,1.032,1.058,-0.026
2024-06-21,HGI BTC,8.045,8.26,-0.2149999999999998
2024-06-21,FA SAMSUNG BTC,23.96,24.62,-0.6600000000000001
2024-06-21,FA CSOP ETH,18.65,19.39,-0.740000000000002
2024-06-21,FA CSOP BTC,24.36,25.1,-0.740000000000002
2024-06-21,CAM ETH-U,1.084,1.128,-0.0439999999999998
2024-06-21,CAM ETH-R,7.91,8.2,-0.2899999999999991
2024-06-21,CAM BTC-U,1.03,1.06,-0.03
2024-06-21,CAM BTC-R,7.5,7.705,-0.205
2024-06-21,CAM BTC,8.03,8.265,-0.2350000000000012
2024-06-21,BOS HSK ETH-U,3.464,3.592,-0.1280000000000001
2024-06-21,BOS HSK ETH,27.0,28.04,-1.0399999999999991
2024-06-21,BOS HSK BTC-U,6.41,6.565,-0.1550000000000002
2024-06-21,BOS HSK BTC,50.0,51.38,-1.3800000000000026
2024-06-21,CAM ETH,8.45,8.8,-0.3500000000000014
2024-06-24,FA CSOP BTC,23.76,24.36,-0.5999999999999979
2024-06-24,HGI ETH-U,1.058,1.09,-0.032
2024-06-24,HGI ETH,8.255,8.495,-0.2399999999999984
2024-06-24,HGI BTC-U,1.004,1.032,-0.028
2024-06-24,HGI BTC,7.83,8.045,-0.2149999999999998
2024-06-24,FA SAMSUNG BTC,23.28,23.96,-0.6799999999999997
2024-06-24,FA CSOP ETH,18.09,18.65,-0.5599999999999987
2024-06-24,CAM ETH-U,1.054,1.084,-0.03
2024-06-24,BOS HSK ETH-U,3.364,3.464,-0.1
2024-06-24,CAM ETH,8.225,8.45,-0.2249999999999996
2024-06-24,CAM BTC-U,0.999,1.03,-0.031
2024-06-24,CAM BTC-R,7.29,7.5,-0.2099999999999999
2024-06-24,CAM BTC,7.81,8.03,-0.2199999999999997
2024-06-24,CAM ETH-R,7.685,7.91,-0.2250000000000005
2024-06-24,BOS HSK ETH,26.26,27.0,-0.7399999999999984
2024-06-24,BOS HSK BTC-U,6.24,6.41,-0.1699999999999999
2024-06-24,BOS HSK BTC,48.7,50.0,-1.2999999999999972
2024-06-25,HGI ETH-U,1.056,1.058,-0.002
2024-06-25,HGI ETH,8.24,8.255,-0.0150000000000005
2024-06-25,HGI BTC-U,0.974,1.004,-0.03
2024-06-25,HGI BTC,7.605,7.83,-0.2249999999999996
2024-06-25,FA SAMSUNG BTC,22.62,23.28,-0.6600000000000001
2024-06-25,FA CSOP ETH,18.05,18.09,-0.0399999999999991
2024-06-25,FA CSOP BTC,23.1,23.76,-0.6600000000000001
2024-06-25,CAM ETH-U,1.052,1.054,-0.002
2024-06-25,CAM ETH-R,7.665,7.685,-0.0199999999999995
2024-06-25,CAM ETH,8.205,8.225,-0.0199999999999995
2024-06-25,CAM BTC-U,0.971,0.999,-0.028
2024-06-25,CAM BTC-R,7.085,7.29,-0.205
2024-06-25,CAM BTC,7.595,7.81,-0.2149999999999998
2024-06-25,BOS HSK ETH-U,3.35,3.364,-0.0139999999999997
2024-06-25,BOS HSK ETH,26.2,26.26,-0.0600000000000022
2024-06-25,BOS HSK BTC-U,6.06,6.24,-0.1800000000000006
2024-06-25,BOS HSK BTC,47.3,48.7,-1.4000000000000057
2024-06-26,HGI ETH,8.33,8.24,0.0899999999999998
2024-06-26,HGI BTC-U,0.99,0.974,0.016
2024-06-26,HGI BTC,7.735,7.605,0.1299999999999999
2024-06-26,FA SAMSUNG BTC,23.0,22.62,0.379999999999999
2024-06-26,FA CSOP ETH,18.24,18.05,0.1899999999999977
2024-06-26,FA CSOP BTC,23.52,23.1,0.4199999999999981
2024-06-26,CAM ETH-U,1.062,1.052,0.01
2024-06-26,CAM ETH-R,7.76,7.665,0.0949999999999997
2024-06-26,HGI ETH-U,1.066,1.056,0.01
2024-06-26,CAM BTC-U,0.989,0.971,0.018
2024-06-26,CAM BTC-R,7.225,7.085,0.1399999999999996
2024-06-26,CAM BTC,7.73,7.595,0.1350000000000006
2024-06-26,BOS HSK ETH-U,3.39,3.35,0.04
2024-06-26,BOS HSK ETH,26.48,26.2,0.2800000000000011
2024-06-26,BOS HSK BTC-U,6.16,6.06,0.1000000000000005
